Type of Event,Event Verticals,Name of Event,Dates,Hours,Date of Last Year's Event,Date of Next Year's Event,Country,City,Venue,# Atendees of Last Event,# Exhibitors of Last Event,URL,Phone Number,E-mail,About the Event,Exhibitors,Attendees,Exhibitor Info,Link to Photos,Link to Videos,Facebook,Instagram,Linkedin,Twitter
Trade Show & Conference,Automotive,Tire Technology Expo,25 Feb 2020-27 Feb 2020,09:00 AM - 06:00 PM,5-7 Mar 2019,1/3/2021,Germany,Hannover,Deutsche Messe AG,5600,319,https://www.tiretechnology-expo.com/en,+44 1306 743744 ,registration@ukimediaevents.com,"Europe's most important tire manufacturing technology exhibition and conference

With exhibits from many of the world's most important suppliers to the tire manufacturing industry plus a major conference, workshop programme and industry-leading awards dinner, Tire Technology Expo is a must-attend industry event.

https://www.tiretechnology-expo.com/en/index.php","Bosch Rexroth AG,Carl Zeiss Optotechnik GmbH,Emerson Automation Solutions,GL Messtechnik GmbH,Industriefabrik Schneider GmbH,Karl Eugen Fischer GmbH,Paul AUER GmbH,Pioneer Industrial Systems LLC,SAR Elektronic GmbH,Siemens AG,Starrett-Bytewise Europe,Hansen & Rosenthal KG,Kobelco Stewart Bolling Inc,Tyre Asia,LMC Tyre & Rubber Ltd,Kokusai Co. Ltd.,FengHai (Panjin) Rice Biotec Co. Ltd,Berrmak Makina,Alpha Technologies UK,Benninger Zell GmbH","Eligibility Criteria: Open to industry professionals
Visitors must submit their badges at the event registration area.
Fees: Free
Attendee Registration","Sponsorship Fees: No info
Exhibitor Fees: Contact required for pricing information
Exhibitor Registration",https://www.tiretechnology-expo.com/en/index.php,https://www.tiretechnology-expo.com/en/reviews-videos.php#gallery,https://www.facebook.com/tiretechnologyexpo/,,https://www.linkedin.com/groups/4089108/,https://twitter.com/tiretechexpo
Trade Show & Conference,Automotive,Global Tire Expo - SEMA Show,5 Nov 2019-8 Nov 2019,09:00 AM - 06:00 PM,30 Oct-2 Nov 2018,Oct-Nov 2020,USA,Las Vegas,Las Vegas Convention Center,70000,2400,https://www.semashow.com,,semashow@sema.org,"The premier automotive specialty products trade event in the world

The SEMA Show is the premier automotive specialty products trade event in the world. It draws the industry’s brightest minds and hottest products to one place, the Las Vegas Convention Center. In addition, the SEMA Show provides attendees with educational seminars, product demonstrations, special events, networking opportunities and more.

https://bit.ly/2xC7z7l","Aeromotive Services Inc.,Eagle Enterprises Inc.,Equip Automotive Systems,Guangzhou Yupeng Auto Parts Co. Ltd.,Herkules Equipment Corp.,SEMA Collision Repair & Refinish Stage,Sirius Light Technology Co. Ltd.,SONAX GmbH,Metra Electronics,Montroy Automotive Division,LDPI Lighting,Excel Make Automotive Inc.,Douglas Corporation,Karshall Industry Co., Ltd.,BelAire & CP Compressors,Toppking Electronics Ltd.,Vision Automobile Electronics Industrial Co. Ltd.,Solink International Manufactures Co., Ltd.,Shenzhen Aotop Electronic Industrial Co. Ltd.,Rich Honest Machinery &Tools Co., Ltd.","Eligibility Criteria: Open to industry professionals
Fees: Contact required for pricing information
Attendee Registration","Sponsorship Fees: Vary between $500 - $25.000
Contact required for custom packages pricing details
Exhibitor Fees: 10x10 Exhibits - $2.919 - $6.263
10x20 Exhibits - $6.286 - $7.387
20x20 Exhibits - $12.430 - $18.222
Additional fees for services may be required
Exhibitor Registration",http://www.semadigital.com/,,https://www.facebook.com/semashow/,https://www.instagram.com/semashow/?hl=tr,https://www.linkedin.com/company/specialty-equipment-market-association-sema/?originalSubdomain=tr,https://twitter.com/semashow
Trade Show & Conference,Automotive,Auto Maintenance & Repair Expo,15 Mar 2020 -18 Mar 2020,09:00 AM - 05:00 PM (15 May 2020-17 Mar 2020)|09:00 AM - 12:00 PM (18 Mar 2020),21-24 Mar 2019,Mar-Apr 2021,China,Beijing,New China International Exhibition Center,59102,1241,https://auto-maintenance.cn.messefrankfurt.com/beijing/en/,+86 10 8471 0628,sophia.wang@china.messefrankfurt.com,"The International Trade Fair for Auto Maintenance Technology and Equipment

Get connected with the the automotive maintenance and repair sectors at the leading trade fair Auto Maintenance and Repair Expo (AMR) in Beijing. As a premium business meeting place for the industry, dealership trade and maintenance and repair segment, it provides a major platform for business and technological knowledge transfer.

https://auto-maintenance.cn.messefrankfurt.com/beijing/en/facts-figures.html","Beijing New Auto Tech Co. Ltd.,Foshan Vito Filter Co. Ltd.,Inchwell T&S (Dalian) Co. Ltd.,Lawrence Auto Machinery Co. Ltd.,Max Tyre Calibrator,ORAP GmbH,R&H Engineering Co. Ltd.,Shenzhen Eucleia Technology Co. Ltd.,Sumax Industry Limited,Associated Equipment Corporation,Autek Engineering Company,Changzhou Libang Automobile Electric Co. Ltd.,Dong Guan Jin Li Da,Hangzhou Tianheng Machinery Co. Ltd.,Korea Samsan in China,KJC Enginerring Inc.,Pico Technology,Qingdao Best Future Electric Ltd.,Sky International Co. Ltd.","Eligibility Criteria: Open only to trade visitors and people over 18
Fees: Free
Attendee Registration","Sponsorship Fees: Contact required for pricing details
Exhibitor Fees: To be announced
Exhibitor Registration",https://auto-maintenance.cn.messefrankfurt.com/beijing/en/press/photos.html,,https://www.facebook.com/pg/amrinchina/posts/,,,
Trade Show,Automotive,Taipei International Cycle Show,4 Mar 2020-7 Mar 2020,09:00 AM - 06:00 PM (4 Mar 2020-6 Mar 2020)|09:00 AM - 03:00 PM (7 Mar 2020),27-30 Mar 2019,Mar-21,Taiwan,Taipei,"Taipei Nangang Exhibition Center, Hall 1",1400,20000,https://www.taipeicycle.com.tw/en_US,,cycle@taitra.org.tw,"One of the most famous cycles shows in the world

Taipei International Cycle Show is one of the most famous cycles shows in the world with the regular participation of internationally renowned brands. Its comprehensive product line offering one-stop sourcing from parts to complete assembled products.

https://www.taipeicycle.com.tw/en_US/show/info.html?id=EDF32441D930353ED0636733C6861689&sFuncID=EDF32441D930353ED0636733C6861689","720 International Ltd.,A2Z Design & Development Inc.,Bangkok Cycle Industrial,Cape Bouvard Technologies,Crops Co. Ltd.,DNM Industrial Co. Ltd.,Dorcus Cycle Corp.,DT Swiss AG,EMP Inc.,FMA International Co. Ltd.,Fullking Industrial Corp.,Galon Corporation,Hexagon S.R.L.,Holland Mechanichs,IDS Corporations Limited,Jiang Ding Technology Co. Ltd.,Kamigawa Co. Ltd.,Limotec Limited,Marwi Europe B.V.,Noble Glory Co. Ltd.","Eligibility Criteria: Open to industry professionals & enthusiasts
Fees: NT$200 & NT$100 for seniors
Attendee Registration","Sponsorship Fees: Advertising packages vary between $5.500 - $21.000
Exhibitor Fees: Contact required for pricing details
Exhibitor Registration",https://www.taipeicycle.com.tw/en_US/act/album/photo/list.html?sFuncID=9BAFBFBF38D3FACFD0636733C6861689,https://www.taipeicycle.com.tw/en_US/act/media/list.html?sFuncID=483406F172577471D0636733C6861689,,https://www.instagram.com/taipeicycleshow/,,
Trade Show & Conference,Automotive,Equip Auto,15 Oct 2019-19 Oct 2019,09:00 AM - 06:00 PM,17-21 Oct 2017,Oct-21,France,Paris, Paris Expo Porte de Versailles,95000,1200,https://en.equipauto.com,+33 1 76 77 16 18,helene.tsoungui@comexposium.com,"A truly international event for the vehicle aftermarket and aftersales services

EQUIP AUTO one of the main European touchpoints for networking between car manufacturers, parts manufacturers, distributors and the repair industry in search of new products, services or partners.

https://en.equipauto.com/discover-EQUIP-AUTO/About-the-EQUIP-AUTO-show","Aba Automotive,EGI France,Ehrle GmbH,European Tyre Distributors BV,Hepu Autoteile GmbH,Hisar Elektrik Otomotiv,Hitachi Automotive Systems Espelkamp,Industrial Metalcaucho,J.A. Becker & Söhne,Japanparts Group,Kamlung Auto Parts Co. Ltd.,Kovax Europe B.V.,Noco Products,Orion Exhaust Parts,Palini Vernici,Sangsin Brake,SDZ Auto Parts Co. Ltd.,Yongtek,Ytt Otomotiv,ZF Frierichshafen AG","Eligibility Criteria: Open to automotive aftersales professionals
Fees: €15 incl. VAT (€25 at the entrance to the show)
Student fee - €5 incl. VAT
Attendee Registration","Sponsorship Fees: Special packages vary between €696 - €4.560 excl. tax
Show map and orientation plans vary between €78 - €10.000 excl. tax
Digital advertisements vary between €16 - €10.000 excl. tax
Signages vary between €1.500 - €15.000 excl. tax
T-shirts, bags & others vary between €3.000 - €10.000 excl. tax
Area sponsorship varies b between €3.000 - €16.000 excl. tax
Exhibitor Fees: Comexposium Stand by Marcelo Joulia (from 9 to 36 sq m) - €150 excl. VAT/ sq m
Confort Stand (from 25 sq m) - €225 excl. VAT/sq m
Prestige Stand (from 25 sq m) - €301 excl. VAT/sq m
Exhibitor Registration",https://en.equipauto.com/discover-EQUIP-AUTO/About-the-EQUIP-AUTO-show/pictures-of-the-show,https://www.youtube.com/user/EquipAutoTele,https://www.facebook.com/salon.equipauto,https://www.instagram.com/equip_auto/,https://www.linkedin.com/in/salonequipauto/,https://twitter.com/equip_auto
Conference,Automotive,Automotive Intelligence Summit,23 Jul 2019-25 Jul 2019,08:00 AM - 07:00 PM,24-26 Jul 2018,Jul-20,USA,Raleigh,Raleigh Marriott Crabtree Valley,190,,https://www.autointelsummit.com/,,,"Core Topics Driving the Future of Automotive

You have questions about the future of auto. The Auto Intel Summit has visionaries and their insights to help you find the answers. AIS gives you the opportunity to meet and connect with the intellectual capital that is critical to providing innovative solutions for the industry today and for decades to come.

https://www.autointelsummit.com/",,"Eligibility Criteria: Open to industry professionals
Fees: Regular rate - $1.395
Onsite - $1.595
Attendee Registration","Sponsorship Fees: Contact required for further information
Sponsorship Enquiries",,https://vimeo.com/279450272,,,,
Conference,Automotive,Automotive Tech Summit,21 May 2019,09:00 AM - 07:00 PM,,May-20,Poland,Wroclaw,Hotel Sofitel,,,https://automotivetechsummit.com/,+44 203 289 5003,ats2019@wwpartnerships.com,"Meet the region's leading vehicle manufacturers, suppliers and solution providers

We are proud to introduce the first Automotive Tech Summit in Poland, which will take place on 21st May 2019. ATS 2019 will bring together strategic decision makers from the region's leading vehicle manufacturers, suppliers and solution providers. Focusing on the current Manufacturing and Supply Chain Solutions, as well as the impact of Electro-Mobility and Autonomous Technology Innovations, this event will ensure your business has the tools and knowledge to stay ahead of the game!

https://automotivetechsummit.com/",,"Eligibility Criteria: Open to industry professionals
Fees: Contact required for further information
Registration will be opened for the next event.",Contact required for sponsorship details,,,https://www.facebook.com/events/wroclaw-poland/automotive-tech-summit/447887039113910/,,,
Conference,Automotive,World Automotive Conference,17 Oct 2019,09:00 AM - 05:00 PM,4-5 Oct 2018,Oct-20,Turkey,Istanbul,Wyndham Grand Istanbul,800,,https://worldautomotiveconference.co.uk/,+44 203 289 5003,wac@wwpartnerships.com,"Latest Trends in the Automotive Industry Across the World

The World Automotive Conference has always been a platform where senior level executives can convene to discover and learn the latest trends and technologies affecting their businesses.

https://worldautomotiveconference.co.uk/",,"Eligiblity Criteria: Open to industry professionals
Fees: Delegate pass - £149
Attendee Registration","Sponsorship includes the exhibition opportunity. Contact required for further information
Sponsorship Registration",,https://www.youtube.com/channel/UCX1ZzokrN4rGInZPDXHHY2A,https://www.facebook.com/wwpartnerships/,https://www.instagram.com/wwpartnerships/,https://www.linkedin.com/showcase/wac---world-automotive-conference/about/,https://twitter.com/WWPartnerships
Conference,Automotive,Automotive Seating Innovators Summit,29 Jul 2019-31 Jul 2019,09:00 AM-06:00 PM,30 Jul-1 Aug 2018,Jul-Aug 2020,USA,Livonia,Hilton Detroit Livonia Novi,80,,https://www.automotive-iq.com/events-seatinginnovators,+1 800 882 8684,enquiry@iqpc.com,"A Platform for Designers and Engineers

Automotive Seating Innovators Summit will provide a platform for designers and engineers to discuss changes in the seating sector as automakers explore new designs to remain competitive now and new thinking around changes to the industry with the mainstreaming of autonomous vehicles, and car and ride shares.

https://www.automotive-iq.com/events-seatinginnovators",,"Eligibility Criteria: Open to industry professionals
Fees: Contact required for pricing details
Attendee Registration","Sponsorship opportunities available. Contact required for further information
Sponsorship Registration",,,https://www.facebook.com/events/detroit-michigan/10th-annual-automotive-seating-innovators-summit/506248732910814/,,,
Conference,Automotive,Suspension Systems USA Conference,30 Jul 2019-1 Aug 2019,08:00 AM - 06:30 PM (30 Jul 2019-31 Jul)|08:00 AM - 05:00 PM (1 Aug 2019),,Jul-Aug 2020,USA,Southfield,The Westin,,,https://www.asdevents.com/event.asp?id=20368,+1 646 513 4192 ,sales@asdevents.com,"The Definitive Event for the Global Suspensions Community

Advanced Suspension Systems is the only annual gathering which brings together suspension, chassis, design and vehicle dynamics professionals from OEMs, Tier 1s and component solution providers to discuss and discover latest advancements in suspension systems.ies ex non metus molestie rutrum. Quisque tortor nulla, placerat ac augue et, dapibus congue felis.

https://www.asdevents.com/event.asp?id=20368",,"Eligibility Criteria: Open to industry professionals
Fees: Vary from $2.299 to $4.049
Attendee Registration",,,,,,,
