Type of Event,Event Verticals,Name of Event,Dates,Hours,Date of Last Year's Event,Date of Next Year's Event,Country,City,Venue,# Atendees of Last Event,# Exhibitors of Last Event,URL,Phone Number,E-mail,About the Event,Exhibitors,Attendees,Exhibitor Info,Link to Photos,Link to Videos,Facebook,Instagram,Linkedin,Twitter,,
Conference,"Print, Packaging, Graphics",European Packaged Summit,18 May 2020-19 May 2020,09:00 AM - 06:00 PM,24 Jun 2019-25 Jun 2019,May-Jun 2021,Belgium,Brussels,Hotel Le Plaza,140,,https://www.packagedsummit.com/,+44 20 7738 5454,maxconferences@markallengroup.com,"Inspiration and innovation from across the packaging world Delegates at the Packaged Summit take a comprehensive look at the latest regulatory, technical and consumer updates in the packaging world. https://www.packagedsummit.com/",,Eligibility Criteria: Open to industry professionals Fees: Early bird rate - 495 Full price - 1.195,Sponsorship Fees: Contact required for further information Sponsorship Registration,,https://www.youtube.com/channel/UCjLe58f8y00TUbBY7vfBv5Q,,,https://www.linkedin.com/showcase/packaged-summit/,https://twitter.com/Packaged_Summit,,
Conference,"Print, Packaging, Graphics",Smart Packaging,10 Sep 2019-11 Sep 2019,09:30 AM - 06:00 PM (10 Sep 2019)|09:00 AM - 16:20 PM (11 Sep 2019),9 Oct 2018-10 Oct 2018,Sep-Oct 2020,Germany,Hamburg,Hamburg Marriott Hotel,100,,https://www.ami.international/events/event?Code=C0996#11134,+44 117 314 8111,Anna.Kislingbury@ami.international,"Learn About The Latest Technologies in Smart Packaging The Smart Packaging conference, once again, ?brings together brand owners, retailers, packaging producers, plastics and additive suppliers, active and intelligent technology developers, and processing machinery experts to discuss new opportunities and applications for intelligent packaging. https://www.ami.international/events/event?Code=C0996#11134",,Eligibility Criteria: Open to industry professionals Fees: Pre-programme price - 940 (available until ?8th March 2019) Early Booking price - 1.040 (available until 28th June 2019) Full price - 1.240,Sponsorship Fees: Various packages available,,,https://www.facebook.com/AMI.Events.Research/,,https://www.linkedin.com/company/contact_ami/,https://twitter.com/contact_ami,,
Conference,"Print, Packaging, Graphics",Digital Print Europe,7 Oct 2019-10 Oct 2019,09:00 AM - 06:00 PM,17Sep 2018-18 Sep 2018,Sep-Oct 2020,Germany,Berlin,The Courtyard Marriott Hotel,,,https://imieurope.com/digitalprinteurope2019-introduction,+44 1223 236920,enquiries@imieurope.com,"The Strategic and Technical Conference for the Digital Inkjet Printing Industry Digital Print Europe is built around our strategic Digital Printing Conference, with supporting events including a Mergers & Acquisitions forum, Market Reports Live briefings and the world-famous Inkjet Academy. https://imieurope.com/digitalprinteurope2019-introduction",,Eligibility Criteria: Open to industry professionals Fees: IMI Europe Digital Printing Conference Early registration (until 31 July 2019) - 895 Standard - 1.095 On-site registration - 1.295 Inkjet Academy Early registration - 795 Standard - 995 On-site registration - 1.195 Mergers & Acquisitions/Market Reports Live Early registration - 495 Standard - 595 On-site registration - 695,Sponsorship Fees: Vary from 795 to 4.995 Sponsorship provides opportunity for table top exhibition Sponsorship Registration,,https://www.youtube.com/channel/UCrW-wTqqqFV95wHHHO0DNsQ,,,https://www.linkedin.com/company/imi-europe-limited/,,,
Conference,"Print, Packaging, Graphics",Top Packaging Summit,19-Sep-19,08:00 AM - 05:10 PM,20-Sep-18,20-Sep,Sweden,Malm,Best Western Malmo Arena Hotel,120,,https://toppackagingsummit.com,,info@packbridge.se,"Value Chain Perspective on Circular Economy Over the years Packbridge has accumulated a wealth of knowledge and deep understanding of every part of the packaging value chain, therefore we have a good idea about what makes this industry tick. https://toppackagingsummit.com",,Eligibility Criteria: Open to industry professionals Fees: Early bird member price - SEK 4.495 Early bird non-member price - SEK 6.995,,,https://toppackagingsummit.com/#watchvideo,https://www.facebook.com/events/quality-hotel-view/top-packaging-summit-by-packbridge/357503777924004/,,https://www.linkedin.com/company/packbridge-ab/,https://twitter.com/tpsbypackbridge?lang=tr,,
Trade Show,"Print, Packaging, Graphics",DPES Sign Expo China,26 Aug 2019-28 Aug 2019,09:00 AM - 05:30 PM (26 Aug 2019-27 Aug 2019)|09:00 AM - 01:00 PM (28 Aug 2019),20-23 Feb 2019,9-11 Feb 2020,China,Guangzhou,Poly World Trade Center,20000,350,http://www.chinasignexpo.com/en/,+86 20 8908 9736,service@dpes.com.cn,"International Trade Fair of Digital Printing, Engraving and Signage Systems DPES Sign & LED Expo China was first held in 2010. It shows a complete production of mature advertising system, including all kinds of high-end brand products such as UV flatbed, inkjet, digital printer, engraving equipment, signage, LED light source, etc. Every year, DPES Sign Expo attracts a wide range of local and international enterprises to participate, and has become the world's leading expo for sign and advertising industry. http://www.chinasignexpo.com/GuangZhouAutumn/en/sign-china.html","ShenZhen Blong Photoelectric Technology ,Dongguan Good Luster Lightiang Co.,Ltd ,ChangSha K-SUN Electronic Technology Co.,Ltd ,ShenZhen Xingdongxin Technology Co.,Ltd ,Anhui Good-Tek Electronic Corp.,Ltd ,Hunan Dori Lighting Technology Co.,Ltd. ,Dongguan YYPower Technology Co.,Ltd ,Guangzhou Baizhuang Composite Material Co.,Ltd ,Shenzhen xiaoheidou Lighting CO.,LTD. ,DongGuang caihong photoelectricity co.,ltd ,Kingstar Lighting ,Inns Creative Co.,Ltd ,Shenzhen VSS Winline Electronics Co.,Ltd. ,Zhongshan HongFan Lighting Co.,Ltd ,Shenzhen Lookable Electronics Co.,Ltd. ,Dong guan City Jin Xing yu thrend Co.Ltd ,Jinan Cheetech CNC Equipment Co.,ltd ,Shenzhen Huawenchuang Technology Co.,Ltd ,HangZhou TPS Technlogy Co.Ltd ,Hongkong Bestplotter Technology",Eligibility Criteria: Open to industry professionals Fees: Free,Sponsorship Fees: No information,,https://www.youtube.com/watch?v=6lemFyjMx0s&feature=youtu.be,https://www.facebook.com/dpes.gz.7,https://www.instagram.com/dpesexpochina/,https://www.linkedin.com/company/dpes-china/,https://twitter.com/DpesChina?lang=en,,
Trade Show & Conference,"Print, Packaging, Graphics",Packaging Innovations,11 Sep 2019-12 Sep 2019,10:00 AM - 05:00 PM (11 Sep 2019)|10:00 AM - 04:00 PM (12 Sep 2019),12-13 Sep 2018,20-Sep,United Kingdom,London,Olympia London,180,157,https://www.easyfairs.com/packaging-innovations-london-2019/packaging-innovations-london-2019/,+44 20 3196 4414,alessandra.leonard@easyfairs.com,"The future of branded and inspirational packaging The capitals most exclusive packaging event held at Olympia London. It's the event that brings the industry together in a festival of branded, inspirational, prestige and bespoke packaging - a must attend for all packaging, marketing and branding professionals. https://www.easyfairs.com/packaging-innovations-london-2019/packaging-innovations-london-2019/about/","Abbey Labels Ltd ,Curtis Packaging ,Croxsons ,Delga Press ,Emirates Printing Press ,Flexpet ,Flavini ,Forwarded Pack Industrial Ltd. ,Goodyear Corporation Ltd ,Groupe Wauters ,HCT Europe Ltd ,Hunter Luxury ,Iggesund Paperboard ,Keenpac ,Lapel Apeel Ltd ,Leonhard Kurz Ltd ,Litmusmockups ,Metal Dynamics Inc ,N Smith & Co Limited ,Organoid Uk",Eligibility Criteria: Open to industry professionals Fees: Contact required for pricing information,Sponsorship Fees: No information Exhibitor Fees: Stand packages vary from 750 - 1.250,,https://www.youtube.com/channel/UCxBV5hTi4IdTGw49lqzEf2w,https://www.facebook.com/PackagingInnovations,https://www.instagram.com/packaging_innovations_uk/?hl=en,https://www.linkedin.com/groups/3053737/?village=enabled,https://twitter.com/EasyfairsPACK,,
Conference,"Print, Packaging, Graphics",Linerless Labeling Industry Seminar,23-Sep-19,09:00 AM - 06:00 PM,25-Sep-18,21-Sep,Belgium,Brussels,Thon Hotel Bristol Stephanie,,,https://www.awa-bv.com/product/linerless-labeling-seminar-2019-2/,,conferences@awa-bv.com,"Join the leading companies across the Linerless Labeling value chain This one day seminar offers an industry-driven opportunity for business leaders and professionals to meet, discuss and focus on technology, market, and application developments across linerless labeling. https://www.awa-bv.com/product/linerless-labeling-seminar-2019-2/",,Eligibility Criteria: Open to industry professionals Fees: $565 - $680,,,,,,https://www.linkedin.com/company/awa-alexander-watson-associates/,,,
Trade Show & Conference,"Print, Packaging, Graphics",Photoshop World,21 Aug 2019-23 Aug 2019,12:00 PM - 07:30 PM (21 Aug 2019)|08:00 AM - 07:45 PM (22 Aug 2019)|08:00 AM - 02:00 PM (23 Aug 2019),19 Jul 2016-21 Jul 2016,Jul-Aug 2020,USA,Las Vegas,The Mirage,,25,https://photoshopworld.com/vegas/,+1 800 201 7323,memberpics@kelbymediagroup.com,"Experience the Worlds Biggest & Best Photography, Lightroom, and Photoshop Conference Photoshop World is an annual gathering of photographers, designers, Lightroom lovers, creative minds, social media marvels, and Photoshop users from around the world. They come here to learn, to connect, to share ideas and concepts, to learn all the latest tips and tricks, and have fun doing it. Its live shoots, its late night sessions, its networking, talking with our industrys best known names face to face, and making new friends. https://photoshopworld.com/vegas/pricing.html#faq-pricing","B&H Photo-Video ,Adobe Stock ,Bay Photo ,Millers Professional Imaging ,Peachpit ,Platypod ,Rocky Nook ,B&C Camera ,Hoodman ,Hurley Productions, LLC ,KEH Camera ,Now I Lay Me Down to Sleep ,Spider Holster ,Tamron ,Tether Tools ,The Team Companies ,Westcott ,Topaz Labs ,ConnectMe Solutions ,Rocky Nook",Eligibility Criteria: Open to industry professionals Fees: Full Conference Pass - $799 One-Day Conference Pass - $349,Sponsorship and exhibition opportunities available Contact required for further information,,https://www.youtube.com/playlist?list=PL7tRjmRHz3kAME-V3Z0sUwmYYkjPqs_4k,https://www.facebook.com/groups/704441399756885/,https://www.instagram.com/photoshopworldconference/,https://www.linkedin.com/company/kelbyone,https://twitter.com/PhotoshopWorld_,,
Trade Show,"Print, Packaging, Graphics",Fespa Mexico,22 Aug 2019-24 Aug 2019,12:00 PM - 08:00 PM (22 Aug 2019-23 Aug 2019)|11:00 AM - 07:00 PM (24 Aug 2019),20-22 Sep 2018,Aug-Sep 2020,Mexico,Mexico City,Citibanamex Center,12000,150,https://mexico.fespa.com/en/,+52 55 5203 5029,marketing@fespa.com,"The Largest Specialist Printing Exhibition FESPA Mexico is the largest exhibition for the graphic arts industry in Mexico and Central America, providing visitors with the very latest developments in technology, solutions and trend insights. https://mexico.fespa.com/en/about-fespa-mexico","Arlon Mexico ,Color-Dec Italy ,Grafilia ,HP Inc. ,DGS Professional Graphics ,Epson Mexico ,Soluciones Digitales ,Sideco ,SignX ,Ricoh Mexicana ,Orion MK ,Fimor North America ,Trotec Laser ,Vision Digital ,Zr ,Asia Robotica ,Inkbank ,Mextran ,Nazdar ,GrupoSanchez","Eligibility Criteria: Open to industry professionals Fees: Registration is free, however, you will need a promo code to complete the form (which can be found in adverts, social media channels, fespa.com and other marketing materials).",Sponsorship and exhibition opportunities available Contact required for further information,https://mexico.fespa.com/en/gallery-2017,https://mexico.fespa.com/en/videos,https://www.facebook.com/fespamexico,https://www.instagram.com/fespamexico,https://www.linkedin.com/groups/4103786,https://twitter.com/fespamexico,,
Trade Show,"Print, Packaging, Graphics",Fespa Africa,11 Sep 2019-13 Sep 2019,09:00 AM - 07:00 PM,12-14 Sep 2018,20-Sep,South Africa,Johannesburg,Gallagher Convention Centre,6494,180,https://www.fespaafrica.com/,+44 1737 240788,michael.ryan@fespa.com,"An Explosion of Posibilities FESPA Africa, South Africas largest dedicated print and signage exhibition returns to the Gallagher Convention Centre during the 11-13 September 2019. Conveniently co-located with Sign Africa, Africa Print, Africa LED and the Modern Marketing Expos you can reach hundreds of leading exhibitors showcasing the latest developments in technology, equipment, consumables, solutions, software and more. Register now for your chance to be inspired and discover an explosion of possibilities. https://www.fespaafrica.com","Createx (Pty) Ltd. ,Dacen Digital Technology ,Epson ,Falcon ,Fujifilm SA ,GAWK Visual Engineers ,Agfa Graphics ,DB Flextension ,Hi-Tech Marketing ,JG Electronics ,OKI/Printacom Technologies ,Paul Moeller & Co ,Plexiglas/Rhm Africa ,Sign-Tronic ,Stuart & Marks ,Ultratec ,Zinchra SA ,Maizey Plastics ,LF Media ,Konica Minolta South Africa",Eligibility Criteria: Open to industry professionals Fees: Free,Sponsorship and exhibition opportunities available Contact required for further information,,,https://www.facebook.com/fespaafrica/,https://www.instagram.com/fespa_africa/,https://www.linkedin.com/company/fespa/?originalSubdomain=tr,https://twitter.com/fespaafrica,,
Trade Show,"Print, Packaging, Graphics",Fespa Eurasia,5 Dec 2019-8 Dec 2019,10:00 AM - 06:00 PM (5 Dec 2019-7 Dec 2019)|10:00 AM - 04:00 PM (8 Dec 2019),6-9 Dec 2018,20-Dec,Turkey,Istanbul,Istanbul Fuar Merkezi IFM Hall 9-10-11,8500,120,https://eurasia.fespa.com/welcome,,nurseli@fespa.com,"The Leading B2B Event for the Print and Signage Industries FESPA Eurasia includes large format digital printing, screen printing, textile printing, signage, car wrapping, 3D printing, commercial printing, display, LED, print and signage software, consumables and more. https://eurasia.fespa.com/why-visit-28jj",,"Eligibility Criteria: Open to industry professionals Fees: Registration is free, however, you will need a promo code to complete the form (which can be found in adverts, social media channels, fespa.com and other marketing materials).",Sponsorship and exhibition opportunities available Contact required for further information,,https://eurasia.fespa.com/highlights-of-fespa-eurasia-2018,https://www.facebook.com/eurasiafespa/,,https://www.linkedin.com/groups/4823681,https://twitter.com/FESPAEurasia,,
Trade Show,"Print, Packaging, Graphics",Fespa Brasil,18 Mar 2020-21 Mar 2020,13:00 PM - 08:00 PM (18 Mar 2020-20 Mar 2020)|10:00 AM - 05:00 PM (21 Mar 2020),20-23 Mar 2019,21-Mar,Brazil,Sao Paulo,Expo Center Norte - Blue Hall,18000,80,https://www.fespabrasil.com.br/en,+1 305 9796116,info@mediabiznes.com,"One Complete Event Solution for the Digital Printing Community A pivotal part of the market, the Visual Communications will be part of ExpoPrint as well as Digital Textile Printing, and all the technology showcased at FESPA Brasil. Over 80% of FESPA Brasil exhibitors have confirmed their presence at ExpoPrint. https://www.fespabrasil.com.br/en/visitar/porque_visitar/","Imidia ,Graphtec ,Mecolour ,Champion Paper ,Canon ,Alphagraphics ,J-Teck ,Duraluxe ,Epson ,HP ,Xerox ,Sun Special ,Cambea ,Forever GmbH ,Ricoh ,Sign House ,Rio Books ,Saturno ,MS Printing Solutions SRL ,Konica Minolta",Eligibility Criteria: Open to industry professionals Fees: Contact required for further information,Sponsorship Fees: Packages vary between R$350 - R$20.000 Exhibitor Fees: Contact required for further information,,https://www.fespabrasil.com.br/en/evento/video/,https://www.facebook.com/fespabrasil,https://www.instagram.com/fespabrasil,,https://twitter.com/fespabrasil,,
Trade Show,"Print, Packaging, Graphics",European Sign Expo,24 Mar 2020-27 Mar 2020,10:00 AM - 06:00 PM (24 Mar 2020-26 Mar 2020 )|10:00 AM - 04:00 PM (27 Mar 2020),14-17 May 2019,TBD,Spain,Madrid,IFEMA,,100,https://ese.fespa.com/,+44 1737 240 788,info@fespa.com,Europe's Leading Non-Printed Signage and Visual Communications Exhibition European Sign Expo 2020 is Europes leading non-printed signage and visual communications exhibition. International exhibitors representing the latest innovations in all things signage come together under one roof to show you all the latest developments and enhancements within the industry. https://ese.fespa.com/why-visit,,Eligibility Criteria: Open to industry professionals Fees: Online registration rate - 40 Onsite registration rate - 70,Sponsorship and exhibition opportunities available Contact required for further information,,https://www.youtube.com/watch?v=VieKfV7KXVQ,https://www.facebook.com/europeansignexpo/,,https://www.linkedin.com/company/fespa,https://twitter.com/EuropeSignExpo,,
