Type of Event,Event Verticals,Name of Event,Dates,Hours,Date of Last Year's Event,Date of Next Year's Event,Country,City,Venue,# Atendees of Last Event,# Exhibitors of Last Event,URL,Phone Number,E-mail,About the Event,Exhibitors,Attendees,Exhibitor Info,Link to Photos,Link to Videos,Facebook,Instagram,Linkedin,Twitter
Conference,"Banking, Finance",Future of Financial Services ASEAN,3 Oct 2019,09:00 AM - 06:00 PM,26-Sep-18,Sep-Oct 2020,Singapore,Singapore,Sheraton Towers,250,,https://fst.net.au/conferences/future-financial-services-asean-2019,+65 3157 6024,JosephH@fst.asia,"Financial Event that brings together the brightest minds from the region's most innovative financial institutions

This by invitation-only event will bring together 250+ Chiefs and Divisional Heads at Asias largest banks, insurance and financial services organisation to share thought-leadership insights on industry trends and emerging technologies that will change the face of the industry in the years to come.

https://fst.net.au/conferences/future-financial-services-asean-2019",,"Eligibility Criteria: This event is by invitation only. Professionals who want to attend can still register their interest in the event.
Fees: Contact required for pricing information
Attendee Registration","Sponsorship opportunities available
AmanM@fst.asia",,,https://www.facebook.com/fstmedia/,,https://www.linkedin.com/company/fst-media/,https://twitter.com/FSTMedia
Conference,"Banking, Finance",Future of Financial Services Melbourne,22 Jul 2020,09:00 AM - 06:00 PM,06-Jun-19,Jun-Jul 2021,Australia,Melbourne,Crown Metropol Melbourne,500,,https://fst.net.au/conferences/future-financial-services-melbourne-2020,+61 2 9376 3225,marcele@fst.net.au,"Melbourne's only dedicated technology and innovation in financial services conference

The event will bring together 500+ technology, digital, and strategy executives from Australia's leading banks, insurers, and superannuation providers and will feature industry thought-leaders that present the latest industry trends and emerging disruptive technologies - including AI, robotic process automation, Open APIs, cloud computing - and strategies that position their organisations at the vanguard of digital innovation.

https://fst.net.au/conferences/future-financial-services-melbourne-2020",,"Eligibility Criteria: Open to industry professionals
Fees: Contact required for pricing information
Registration will be opened.
","Sponsorship opportunities available
MarkQ@fst.net.au",,,https://www.facebook.com/fstmedia/,,https://www.linkedin.com/company/fst-media/,https://twitter.com/FSTMedia
Conference,"Banking, Finance",Future of Financial Services Sydney,14 Nov 2019-15 Nov 2019,09:00 AM - 06:00 PM,8-9 Nov 2018,5-6 Nov 2020,Australia,Sydney,Hyatt Regency,1000,,https://fst.net.au/conferences/future-financial-services-sydney-2019,+61 2 8484 0687,tingl@fst.net.au,"The largest financial services tech event in Australia and Asia Pacific

Join the discussion to learn how the industry is embracing change and accelerating its technology adoption to sharpen the competitive edge and improve customer experience. Open Banking, AI & Machine Learning, Data Analytics, Blockchain, Digital Innovation, the emergence of Neobanks and many other topics are sitting high on the agenda in 2019.

https://fst.net.au/conferences/future-financial-services-sydney-2019",,"Eligibility Criteria: Open to industry professionals
Fees: Contact required for pricing information
Attendee Registration","Sponsorship opportunities available
MarkQ@fst.net.au",,,https://www.facebook.com/fstmedia/,,https://www.linkedin.com/company/fst-media/,https://twitter.com/FSTMedia
Conference,"Banking, Finance",European Pensions & Investments Summit,28 Oct 2019-30 Oct 2019,09:00 AM - 06:00 PM,20-22 May 2019,May-20,Netherlands,Amsterdam,Hilton Amsterdam,500,,http://www.epi-summit.com/,+357 22 849 400,WebEnquiries@marcusevanscy.com,"The ultimate meeting point, bringing elite buyers and sellers together

As an invitation-only event taking place behind closed doors, the summit offers regional pension investors and international fund managers and consultants an intimate environment for focused discussion of the key new drivers shaping institutional asset allocations.

http://www.epi-summit.com/program.asp?eventID=&LangID=&pageID=18#.XS8myegza00",,"Eligibility Criteria: Invitation-only event, industry professionals can still register their interests in the event
Fees: Contact required for pricing information
Attendee Registration","Sponsorship opportunities available
Contact required for further information",,https://www.youtube.com/user/MarcusEvansInvest,,,,https://twitter.com/meEventsInvest
Trade Show,"Banking, Finance",Invest,16 Jul 2019-17 Jul 2019,08:30 AM - 05:30 PM (16 Jul 2019)|08:30 AM - 04:00 PM (17 Jul 2019),10-11 Jul 2018,Jul-20,USA,New York,New York Marriott Marquis,1500,31,https://www.financial-planning.com/conference/invest-2019,+1 212 803 8456,Ingrid.Olsen@sourcemedia.com,"The industry's largest and most anticipated digital wealth management event of the year

Now in its fifth year, In|Vest 2019 will bring together the entire wealth management industry  those that serve retail customers, HNW, UHNW, digital advisors, insurance, asset managers, investors, all manners of solution providers, and consultants to debate and uncover the solutions that are working today, and on the horizon.

https://www.financial-planning.com/conference/invest-2019/about","Broadridge Financial Solutions,Chalice,Chetu,Clearnomics,Doxim,Egnyte,ETNA,EY,FactSet Research Systems,Fiserv,Folio Financial,IHS Markit Digital,InvestCloud,Investment Metrics,Jemstep,Kurtosys,LTI,Plaid,Private Client Resources,Silver Wealth Technologies","Eligibility Criteria: Open to industry professionals
Fees: Standard rate
Banks & Financial Advice Firms (Serving Primarily Retail Customers) - $1.695
Software Vendors, B2B Solution Providers and Consultants - $1.995
Rate expires after June 7, 2019
Attendee Registration","Sponsorship Fees: Contact required for pricing information
Exhibitor Fees: Contact required for pricing information
Sponsorship Registration",,,,,,https://twitter.com/InVest_Event
Conference,"Banking, Finance",TBLI Conference Europe,12 Jun 2019-13 Jun 2019,09:00 AM - 05:30 PM (12 Jun 2019)|09:30 AM - 01:00 PM (13 jun 2019),19-20 Nov 2015,,Switzerland,Zurich,Volkshaus Foundation Zurich,300,,https://www.tbligroup.com/zurich-2019,+31 20 428 6752,info@tbligroup.com,"Explore investment opportunities and learn about latest trends

The overall purpose to attend the TBLI Conference Europe is to build out an effective research programmes and best methods for the development of Investment strategies aspects. An array of presentations and workshop will give you a platform to share the research work by the professionals.

https://www.tbligroup.com/zurich-2019",,"Eligibility Criteria: Open to industry professional
Fees: Contact required for pricing information
Attendee Registration",,https://www.flickr.com/photos/tbliconference/albums/72157709104334837,,https://www.facebook.com/tbliconference/,,https://www.linkedin.com/company/tbli-group/?originalSubdomain=tr,https://twitter.com/tbli_conference
Conference,"Banking, Finance",TBLI Conference Asia Singapore,7 Nov 2019-8 Nov 2019,09:00 AM - 05:30 PM (7 Nov 2019)|11:00 AM - 13:00 PM (8 Nov 2019),,,Singapore,Singapore,Singapore Management University,,,https://www.tbligroup.com/asia-2019,+31 20 428 6752,info@tbligroup.com,"Asian Events for Investment Decision Makers

Join institutional investors, fund distributors and asset owners at the leading conference on global ESG and impact investing. Network, explore investment opportunities and discuss the latest trends. The Fourth TBLI CONFERENCE ASIA will be held in Singapore, November 7th - 8th 2019.

https://www.tbligroup.com/asia-2019",,"Eligibility Criteria: Open to industry professionals
Fees: Free
Attendee Registration",,,,https://www.facebook.com/tbliconference/,,https://www.linkedin.com/company/tbli-group/?originalSubdomain=tr,https://twitter.com/tbli_conference
Conference,"Banking, Finance",Crypto World Zug Conference,1 Jun 2019-2 Jun 2019,09:00 AM - 05:00 PM,12-13 Jun 2018,Jun-20,Switzerland,Zug,Galvanic Center,,,https://www.cryptoworldzug.io,,info@cryptoworldzug.io,"A Place to Breathe and Learn Blockchain & Crypto

A rare occasion that brings bitcoin and cryptocurrencies to a level that is also suitable for beginners. Most congresses on these topics assume a decent basic knowledge to be able to follow the speakers. The Crypto World Zug organizers want to fill this void with a 2-day congress that also aims to the amateurs and enthusiasts.

https://www.cryptoworldzug.io/about/",,"Eligibility Criteria: Open to industry professionals and enthusiasts
Fees: Contact required for pricing information
Registration for the next event will be opened.","Sponsorship Fees: Apero - CHF 3.500
Silver - CHF 3.000
Gold - CHF 5.000
Platinum - CHF 10.000
Sponsorship Registration",,https://www.cryptoworldzug.io/media/,,,https://www.linkedin.com/groups/8686715/,https://twitter.com/cryptoworldzug
Trade Show & Conference,"Banking, Finance",FINANZ',21 Jan 2020-22 Jan 2020,10:00 AM - 06:00 PM (21 Jan 2020)|09:30 AM - 05:00 PM (22 Jan 2020),22-23 Jan 2019,Jan-Feb 2021,Switzerland,Zurich,StageOne Event & Convention Hall,3100,98,https://finanzmesse.ch,+41 44 241 30 60,info@finanzmesse.ch,"Switzerlands largest financial fair

The fair slogan of FINANZ20 is Traditional values in a digital world and the event will once again be held at StageOne in Zurich Oerlikon. In addition to the attractive programme, FINANZ20 will also offer training seminars for professionals, organized by specialist financial associations. FINANZ20 / IMMO20 will be aimed solely at professional investors as it has been the case for the last two years.

https://finanzmesse.ch/en/infos-and-facts/facts.html","AXA Investment Managers Schweiz AG,BNP Paribas (Suisse) SA,Bloomberg,Commerzbank AG / ComStage ETFs,East Capital,Eurizon Capital,Fisch Asset Management AG,Hauck & Aufhuser Fund Services S.A.,Invesco,Janus Henderson Investors,LGT Capital Partners AG,MainFirst Affiliated Fund Managers S.A.,ODDO BHF Asset Managment SAS,SIA Funds AG,Swissquote Bank,Twelve Capital AG,UBS AG,zCapital AG,TokenSuisse AG,vwd group Switzerland AG","Eligibility Criteria: Open to only professional investors
On invitation or CHF 250.- at the cash desk
Tickets / Registration possible from December 2019","Sponsorship Fees: Sponsoring package - CHF 6.500
Contact required for further sponsoring opportunities
Exhibitor Fees: Stand space (at least 15 sq m) - CHF 585 per sq m
Modular exhibition stands vary between CHF 735 - CHF 821
Multi Brand Concept - CHF 5.300 per participant
Glass Cube (50 sq m) - CHF 20.000
Exhibitor Registration",https://finanzmesse.ch/en/infos-and-facts/review/impressionen.html,https://finanzmesse.ch/en/infos-and-facts/review/videos.html,,,https://www.linkedin.com/company/finanzmesse-z%C3%BCrich/?viewAsMember=true,https://twitter.com/finanzmesse
Conference,"Banking, Finance",Richmond Finance Summit,3 Oct 2019-4 Oct 2019,09:00 AM - 06:00 PM,4-5 Oct 2018,1-2 Oct 2020,Switzerland,Lausanne,Beau-Rivage Palace,,,http://www.finance-summit.com/,+1 212 651 8700,general@richmondevents.com,"A unique event, for the key decision-makers and supplier companies of the wealth management and investment industry

This conference programme aims to give senior industry professionals access to new ideas, solutions and innovations to help take their departments and companies forward. The agenda is pitched at a high level and we endeavour to present new case studies and new thinkers on the programme each year.

http://www.finance-summit.com/Conference.aspx",,"Eligibility Criteria: This event is by invitation-only.
Fees: Contact required for further information
Attendee Registration",,,http://www.finance-summit.com/Video.aspx,,,https://www.linkedin.com/company/richmond-events-switzerland/,https://twitter.com/fiforum
Trade Show & Conference,"Banking, Finance",The MoneyShow San Francisco,15 Aug 2019-17 Aug 2019,08:15 AM - 05:45 PM (15 Aug 2019)|08:30 AM - 06:45 PM (16 Aug 2019)|08:00 AM - 05:15 PM (17 Aug 2019),23-25 Aug 2018,Aug-20,USA,San Francisco,Hilton San Francisco Union Square,,,https://conferences.moneyshow.com/moneyshow-san-francisco,+1 800 970 4355,Support@moneyshow.com,"The Premium Money Show in San Francisco

At The MoneyShow San Francisco will you meet face-to-face and hear from a hand-picked roster of preeminent economists, renowned advisors, and top-performing money managers who are distinguished for their original and unbiased body of work. You'll get in-depth perspectives, actionable recommendations, and even one-on-one discussions with some of the best minds in the world of money.

https://conferences.moneyshow.com/moneyshow-san-francisco/","Merrill,tastytrade,CME Group,National Retail Properties, Inc.,TIAA Bank,Zhittya Genesis Medicine Inc.,Action Forex,Aflac Incorporated,BetterInvesting,Eagle Financial Publications,FINRA Investor Education Foundation,Forbes,Infrastructure Capital Advisors, LLC,Investors Hub,KDOW,MarketWatch,Palace Way Partners LLC,PENSCO Trust Company,Schaeffer's Investment Research, Inc.,Turner Capital Investments","Eligibility Criteria: Open to industry professionals
Fees: Free
Attendee Registration","Sponsorship Fees: Contact required for further information
Exhibitor Fees: Contact required for further information
Exhibitor Registration",,https://www.youtube.com/moneyshow,https://www.facebook.com/FollowMoneyShow,,https://www.linkedin.com/company/moneyshow/,https://twitter.com/moneyshows
Trade Show & Conference,"Banking, Finance",Seamless East Africa,2 Sep 2019-4 Sep 2019,08:30 AM - 05:30 PM,3-5 Sep 2018,Sep-20,Kenya,Nairobi,Radisson Blu,1500,90,https://www.terrapinn.com/exhibition/seamless-east-africa/index.stm,+971 4440 2500,enquiry.me@terrapinn.com,"East Africa's Leading Fintech Conference

Seamless East Africa, now in its 5th edition, has proven to be the flagship fintech event of East Africa. The event has grown year on year, bringing together 800+ payments, banking and fintech professionals to Nairobi from across 45 countries. Our audience consists of 83% decision makers and influencers, and is represented by all major banks in East Africa.

https://www.terrapinn.com/exhibition/seamless-east-africa/our-story.stm","Barnes International,Dataprotect,Exatec ATM,F5,Fujian Morefun Electronic Technology Co., Ltd.,FutureCard,Giro FinTech,Global Payment Services,SZFP Technology Limited,MobiIoT,Matica Fintec S.R.L.,Waypotat,Wisecard Technology Co. Ltd.,Global Technology Partners,Cashberry,BankBuddy,icolo.io,BitHub Africa,KuBitX,Pennysmart","Eligibility Criteria: Open to industry professionals
Fees: Free Expo Pass - Free
Financial Inclusion Summit (Pre-Event Summit) - $200
Merchant Payments Summit (Pre-Event Summit) - $200
Special Rate for Banks & Insurance Companies - $300
3 Day Conference Pass (Conf+Summit+Expo) - $1.250
2 Day Conference Pass (Includes Expo) - $1.050
Attendee Registration","Sponsorship Fees: Sponsorship packages include exhibition.
Packages vary from $20.000 to $120.000.
Exhibitor Fees: Start from $8.000.
Exhibitor Registration",https://www.terrapinn.com/exhibition/seamless-east-africa/photos.stm,https://www.terrapinn.com/exhibition/seamless-east-africa/photos.stm,https://www.facebook.com/SeamlessAfrica/?tn-str=k*F,,,https://twitter.com/seamless_africa
Trade Show & Conference,"Banking, Finance",Wealth/Stack,8 Sep 2019-10 Sep 2019,03:00 PM - 05:10 PM (8 Sep 2019)|08:00 AM - 06:30 PM (9 Sep 2019)|08:30 AM - 03:30 PM (10 Sep 2019),,Sep-20,USA,Scottsdale,The Scottsdale Plaza Resort,,,https://finance.knect365.com/wealth-stack/,+1 888 670 8200,register@knect365.com,"Bridging the gap between technology, investment management and practice management

Wealth/Stack has been created to address current technological disruption in the industry. Giving advisors much-needed insight to be able to future-proof their business and thrive.

https://finance.knect365.com/wealth-stack/","Amplify ETFs,Carson Group,eMoney Advisor,Fix Flyer,Naviplan by Advicent,RiskAlyze,TradePMR,United Capital,YCharts","Eligibility Criteria: Open to industry professionals
Fees: Advisor Rate - $145
Standard Rate - $1.295
Attendee Registration","Sponsorship Fees: Contact required for further information
Exhibitor Fees: Contact required for further information
Exhibitor Registration",,,,https://www.instagram.com/wealthstack/,,https://twitter.com/wealthstackconf
